@relation 'parsejson'
@attribute probe_id numeric
% dsfail.py
@attribute dsfail_rt numeric
@attribute dsfail_size numeric
@attribute dsfail_flags numeric %% header bit flags (decimal)
@attribute dsfail_rcode numeric %% response code
@attribute dsfail_qcount numeric %% query count
@attribute dsfail_acount numeric %% answer count
@attribute dsfail_nscount numeric %% authority count
@attribute dsfail_arcount numeric %% additional count
@attribute dsfail_rdata string %% rdata of first reply
% nxdomain.py
@attribute nxd_rt numeric %% response time
@attribute nxd_size numeric %% response size
@attribute nxd_rcode numeric %% response code
% dnskey.py
@attribute dnskey_rt numeric    %% response time
@attribute dnskey_size numeric  %% response size
@attribute dnskey_flags numeric %% header bit flags (decimal)
@attribute dnskey_rcode numeric %% response code
% nsid.py
@attribute nsid_rt numeric    %% response time
@attribute nsid_flags numeric %% header bit flags (decimal)
@attribute nsid_rcode numeric %% response code
% chaos.py
@attribute chaos1_rt numeric % response time
@attribute chaos1_size numeric % response size
@attribute chaos1_rcode numeric % response code
@attribute chaos1_version_bind numeric % request field
@attribute chaos1_version_hostname numeric % request field
@attribute chaos1_resp string % response string
% chaos.py
@attribute chaos2_rt numeric % response time
@attribute chaos2_size numeric % response size
@attribute chaos2_rcode numeric % response code
@attribute chaos2_version_bind numeric % request field
@attribute chaos2_version_hostname numeric % request field
@attribute chaos2_resp string % response string
% whoami.py
@attribute whoami_rt numeric %% response time
@attribute whoami_ip string %% resolver ip address
@attribute whoami_asn numeric %% resolver asn
% ipv6.py
@attribute ipv6_rt numeric %% response time
@attribute ipv6_size numeric %% response size
@attribute ipv6_rcode numeric %% response code
% class
@attribute ok {1,0}
@data
266,322.799,39,33154,2,1,0,0,0,N/A,72.818,105,3,68.312,31,33664,0,80.704,33152,0,66.547,30,2,1,0,N/A,80.031,42,2,0,1,N/A,67.897,74.125.181.12,15169,71.763,74,0,1
269,254.986,39,33154,2,1,0,0,0,N/A,71.476,105,3,67.985,31,33664,0,76.907,33152,0,59.018,30,2,1,0,N/A,73.117,42,2,0,1,N/A,63.42,173.194.170.13,15169,81.689,74,0,1
277,301.758,39,33154,2,1,0,0,0,N/A,96.147,105,3,94.098,31,33664,0,99.283,33152,0,93.1,30,2,1,0,N/A,102.141,42,2,0,1,N/A,90.945,74.125.47.141,15169,83.359,74,0,1
284,277.264,39,33154,2,1,0,0,0,N/A,85.601,105,3,82.671,31,33664,0,92.489,33152,0,70.484,30,2,1,0,N/A,79.248,42,2,0,1,N/A,69.052,74.125.181.194,15169,79.008,74,0,1
285,258.266,39,33154,2,1,0,0,0,N/A,89.998,105,3,91.859,31,33664,0,97.356,33152,0,83.556,30,2,1,0,N/A,96.239,42,2,0,1,N/A,84.986,74.125.46.3,15169,89.751,74,0,1
289,255.661,39,33154,2,1,0,0,0,N/A,90.178,105,3,90.251,31,33664,0,96.129,33152,0,81.522,30,2,1,0,N/A,101.617,42,2,0,1,N/A,83.724,74.125.46.6,15169,88.177,74,0,1
301,522.788,39,33154,2,1,0,0,0,N/A,206.554,105,3,233.734,31,33664,0,216.419,33152,0,304.295,30,2,1,0,N/A,85.177,42,2,0,1,N/A,452.26,173.194.171.13,15169,442.111,74,0,1
304,291.35,39,33154,2,1,0,0,0,N/A,82.799,105,3,85.161,31,33664,0,124.589,33152,0,66.393,30,2,1,0,N/A,81.43,42,2,0,1,N/A,70.541,74.125.76.11,15169,80.926,74,0,1
306,587.27,39,33154,2,1,0,0,0,N/A,90.411,105,3,220.341,31,33664,0,226.128,33152,0,100.064,30,2,1,0,N/A,96.821,42,2,0,1,N/A,214.962,173.194.171.7,15169,445.676,74,0,1
317,313.675,39,33154,2,1,0,0,0,N/A,95.409,105,3,99.891,31,33664,0,101.826,33152,0,87.384,30,2,1,0,N/A,111.034,42,2,0,1,N/A,88.338,74.125.73.87,15169,94.162,74,0,1
319,292.861,39,33154,2,1,0,0,0,N/A,667.795,105,3,244.951,31,33664,0,125.705,33152,0,61.968,30,2,1,0,N/A,76.563,42,2,0,1,N/A,77.722,74.125.183.200,15169,87.646,74,0,1
322,278.518,39,33154,2,1,0,0,0,N/A,60.943,105,3,70.578,31,33664,0,68.079,33152,0,54.551,30,2,1,0,N/A,68.306,42,2,0,1,N/A,56.058,173.194.170.13,15169,60.335,74,0,1
325,306.44,39,33154,2,1,0,0,0,N/A,71.825,105,3,71.186,31,33664,0,77.463,33152,0,63.365,30,2,1,0,N/A,76.325,42,2,0,1,N/A,64.378,74.125.47.154,15169,68.946,74,0,1
331,263.115,39,33154,2,1,0,0,0,N/A,96.389,105,3,238.633,31,33664,0,165.929,33152,0,57.201,30,2,1,0,N/A,67.858,42,2,0,1,N/A,77.662,74.125.183.200,15169,81.898,74,0,1
333,454.857,39,33154,2,1,0,0,0,N/A,364.342,105,3,102.477,31,33664,0,93.946,33152,0,54.138,30,2,1,0,N/A,81.567,42,2,0,1,N/A,90.588,173.194.93.13,15169,96.136,74,0,1
344,176.4,39,33154,2,1,0,0,0,N/A,91.655,105,3,92.495,31,33664,0,99.471,33152,0,82.638,30,2,1,0,N/A,100.99,42,2,0,1,N/A,85.528,74.125.181.14,15169,87.712,74,0,1
348,330.642,39,33154,2,1,0,0,0,N/A,68.212,105,3,83.489,31,33664,0,93.889,33152,0,64.173,30,2,1,0,N/A,75.018,42,2,0,1,N/A,63.289,74.125.181.6,15169,82.78,74,0,1
357,204.704,39,33154,2,1,0,0,0,N/A,81.596,105,3,78.78,31,33664,0,86.147,33152,0,70.503,30,2,1,0,N/A,84.516,42,2,0,1,N/A,72.007,74.125.181.12,15169,77.278,74,0,1
371,327.515,39,33154,2,1,0,0,0,N/A,114.082,105,3,95.905,31,33664,0,101.779,33152,0,85.158,30,2,1,0,N/A,100.44,42,2,0,1,N/A,110.66,74.125.181.193,15169,95.945,74,0,1
378,340.053,39,33154,2,1,0,0,0,N/A,82.318,105,3,68.024,31,33664,0,68.729,33152,0,53.919,30,2,1,0,N/A,67.57,42,2,0,1,N/A,64.811,74.125.46.6,15169,60.449,74,0,1
395,336.704,39,33154,2,1,0,0,0,N/A,69.247,105,3,159.633,31,33664,0,92.514,33152,0,69.456,30,2,1,0,N/A,76.206,42,2,0,1,N/A,64.519,173.194.98.2,15169,68.619,74,0,1
396,311.979,39,33154,2,1,0,0,0,N/A,60.859,105,3,87.064,31,33664,0,84.471,33152,0,54.477,30,2,1,0,N/A,80.363,42,2,0,1,N/A,55.45,74.125.181.14,15169,72.373,74,0,1
410,88.157,39,33154,2,1,0,0,0,N/A,61.06,105,3,67.02,31,33664,0,105.491,33152,0,54.518,30,2,1,0,N/A,68.47,42,2,0,1,N/A,57.446,173.194.98.2,15169,60.278,74,0,1
420,291.493,39,33154,2,1,0,0,0,N/A,73.111,105,3,62.832,31,33664,0,81.464,33152,0,54.588,30,2,1,0,N/A,105.976,42,2,0,1,N/A,56.395,74.125.47.154,15169,88.566,74,0,1
422,172.145,39,33154,2,1,0,0,0,N/A,91.127,105,3,79.918,31,33664,0,97.832,33152,0,57.102,30,2,1,0,N/A,71.642,42,2,0,1,N/A,83.346,74.125.47.4,15169,98.305,74,0,1
425,264.645,39,33154,2,1,0,0,0,N/A,65.464,105,3,65.766,31,33664,0,71.792,33152,0,54.315,30,2,1,0,N/A,68.335,42,2,0,1,N/A,55.897,74.125.47.9,15169,64.214,74,0,1
429,190.979,39,33154,2,1,0,0,0,N/A,77.322,105,3,78.582,31,33664,0,84.422,33152,0,70.649,30,2,1,0,N/A,84.588,42,2,0,1,N/A,71.296,173.194.170.13,15169,85.309,74,0,1
437,372.637,39,33154,2,1,0,0,0,N/A,87.014,105,3,85.681,31,33664,0,80.681,33152,0,63.905,30,2,1,0,N/A,80.734,42,2,0,1,N/A,77.139,74.125.46.6,15169,119.642,74,0,1
438,169.319,39,33154,2,1,0,0,0,N/A,124.979,105,3,71.874,31,33664,0,78.351,33152,0,64.464,30,2,1,0,N/A,78.106,42,2,0,1,N/A,66.452,173.194.170.13,15169,69.449,74,0,1
459,321.642,39,33154,2,1,0,0,0,N/A,87.319,105,3,97.196,31,33664,0,1442.44,33152,0,81.502,30,2,1,0,N/A,94.317,42,2,0,1,N/A,82.298,74.125.181.193,15169,88.339,74,0,1
461,331.307,39,33154,2,1,0,0,0,N/A,70.53,105,3,82.156,31,33664,0,86.524,33152,0,54.307,30,2,1,0,N/A,75.032,42,2,0,1,N/A,65.083,74.125.47.5,15169,78.568,74,0,1
472,145.068,39,33154,2,1,0,0,0,N/A,62.422,105,3,62.58,31,33664,0,71.04,33152,0,55.338,30,2,1,0,N/A,67.958,42,2,0,1,N/A,56.439,74.125.73.89,15169,60.491,74,0,1
473,437.918,39,33154,2,1,0,0,0,N/A,233.086,105,3,214.617,31,33664,0,2046.75,33152,0,64.139,30,2,1,0,N/A,68.785,42,2,0,1,N/A,59.333,74.125.47.139,15169,218.311,74,0,1
480,299.279,39,33154,2,1,0,0,0,N/A,75.328,105,3,92.307,31,33664,0,109.736,33152,0,68.023,30,2,1,0,N/A,83.968,42,2,0,1,N/A,82.139,74.125.47.4,15169,98.842,74,0,1
483,634.275,39,33154,2,1,0,0,0,N/A,158,105,3,461.805,31,33664,0,80.662,33152,0,223.82,30,2,1,0,N/A,243.024,42,2,0,1,N/A,151.343,74.125.41.81,15169,157.453,74,0,1
