@relation 'parsejson'
@attribute probe_id numeric
% dsfail.py
@attribute dsfail_rt numeric
@attribute dsfail_size numeric
@attribute dsfail_flags numeric %% header bit flags (decimal)
@attribute dsfail_rcode numeric %% response code
@attribute dsfail_qcount numeric %% query count
@attribute dsfail_acount numeric %% answer count
@attribute dsfail_nscount numeric %% authority count
@attribute dsfail_arcount numeric %% additional count
@attribute dsfail_rdata string %% rdata of first reply
% nxdomain.py
@attribute nxd_rt numeric %% response time
@attribute nxd_size numeric %% response size
@attribute nxd_rcode numeric %% response code
% dnskey.py
@attribute dnskey_rt numeric    %% response time
@attribute dnskey_size numeric  %% response size
@attribute dnskey_flags numeric %% header bit flags (decimal)
@attribute dnskey_rcode numeric %% response code
% nsid.py
@attribute nsid_rt numeric    %% response time
@attribute nsid_flags numeric %% header bit flags (decimal)
@attribute nsid_rcode numeric %% response code
% chaos.py
@attribute chaos1_rt numeric % response time
@attribute chaos1_size numeric % response size
@attribute chaos1_rcode numeric % response code
@attribute chaos1_version_bind numeric % request field
@attribute chaos1_version_hostname numeric % request field
@attribute chaos1_resp string % response string
% whoami.py
@attribute whoami_rt numeric %% response time
@attribute whoami_ip string %% resolver ip address
@attribute whoami_asn numeric %% resolver asn
% class
@attribute ok {1,0}
@data
420,291.493,39,33154,2,1,0,0,0,N/A,73.111,105,3,62.832,31,33664,0,81.464,33152,0,54.588,30,2,1,0,N/A,56.395,74.125.47.154,15169,1
422,172.145,39,33154,2,1,0,0,0,N/A,91.127,105,3,79.918,31,33664,0,97.832,33152,0,57.102,30,2,1,0,N/A,83.346,74.125.47.4,15169,1
423,505.614,39,33154,2,1,0,0,0,N/A,338.15,105,3,146.511,31,33664,0,345.811,33152,0,324.517,30,2,1,0,N/A,165.222,74.125.190.20,15169,1
425,264.645,39,33154,2,1,0,0,0,N/A,65.464,105,3,65.766,31,33664,0,71.792,33152,0,54.315,30,2,1,0,N/A,55.897,74.125.47.9,15169,1
437,372.637,39,33154,2,1,0,0,0,N/A,87.014,105,3,85.681,31,33664,0,80.681,33152,0,63.905,30,2,1,0,N/A,77.139,74.125.46.6,15169,1
438,169.319,39,33154,2,1,0,0,0,N/A,124.979,105,3,71.874,31,33664,0,78.351,33152,0,64.464,30,2,1,0,N/A,66.452,173.194.170.13,15169,1
448,254.811,39,33154,2,1,0,0,0,N/A,79.875,105,3,80.149,31,33664,0,74.823,33152,0,53.676,30,2,1,0,N/A,56.193,74.125.181.5,15169,1
449,520.117,39,33154,2,1,0,0,0,N/A,270.528,105,3,279.839,31,33664,0,116.54,33152,0,93.982,30,2,1,0,N/A,264.399,74.125.47.141,15169,1
462,440.175,39,33154,2,1,0,0,0,N/A,86.206,105,3,93.31,31,33664,0,90.021,33152,0,58.746,30,2,1,0,N/A,74.585,74.125.46.6,15169,1
466,289.291,39,33154,2,1,0,0,0,N/A,120.049,105,3,121.485,31,33664,0,116.107,33152,0,235.894,30,2,1,0,N/A,87.302,74.125.181.7,15169,1
468,182.039,39,33154,2,1,0,0,0,N/A,93.028,105,3,94.225,31,33664,0,101.807,33152,0,94.658,30,2,1,0,N/A,106.706,74.125.76.5,15169,1
471,266.885,39,33154,2,1,0,0,0,N/A,78.249,105,3,78.72,31,33664,0,85.362,33152,0,55.694,30,2,1,0,N/A,148.637,173.194.170.13,15169,1
